Standort;Bezirk;Typ;Aufbau;;;;;;;;;;;
Schloßstr. ggü. 33-35 auf dem Hermann-Ehlers-Platz;Steglitz-Zehlendorf;Zwei Plätze Ohne kostenfreies Pissoir;29.09.20;;;;;;;;;;;
Holzmannstr. ggü. 23 vor Rohrbeckstr.;Tempelhof-Schöneberg;Ein Platz Mit kostenfreiem Pissoir;22.06.21;;;;;;;;;;;
Stübbenstr. vor Grunewaldstr. 49;Tempelhof-Schöneberg;Ein Platz Mit kostenfreiem Pissoir;28.06.21;;;;;;;;;;;
Platz der Luftbrücke, Tempelhofer Damm vor Manfred-von-Richthofen-Str.;Tempelhof-Schöneberg;Ein Platz Ohne kostenfreies Pissoir;14.05.19;;;;;;;;;;;
S-u. U-Bhf. Tempelhof, Tempelhofer Damm 108;Tempelhof-Schöneberg;Zwei Plätze Ohne kostenfreies Pissoir;25.09.20;;;;;;;;;;;
S-Bhf. Wilhelmshagen, Schönblicker Str. vor Erknerstr.;Treptow-Köpenick;Ein Platz Ohne kostenfreies Pissoir;25.09.19;;;;;;;;;;;
Wernsdorfer Str. ggü. 1 hinter Alt-Schmöckwitz;Treptow-Köpenick;Ein Platz Ohne kostenfreies Pissoir;27.11.19;;;;;;;;;;;
S-Bhf. Grünau, Wassersportallee hinter Adlergestell;Treptow-Köpenick;Ein Platz Ohne kostenfreies Pissoir;03.06.19;;;;;;;;;;;
S-Bhf. Friedrichshagen, Dahlwitzer Landstr. ggü. Schöneicher Str.;Treptow-Köpenick;Ein Platz Mit kostenfreiem Pissoir;30.04.20;;;;;;;;;;;
Treptower Park, Weltspielplatz/Alt-Treptow hinter Bulgarische Str.;Treptow-Köpenick;Heringsbautoilette;02.01.19;;;;;;;;;;;
S-Bhf. Treptower Park, Stern und Kreisschiffahrt/Puschkinallee 15;Treptow-Köpenick;Herringsbautoilette;02.01.19;;;;;;;;;;;
