LavatoryID;Description;City;Street;Number;PostalCode;Country;Longitude;Latitude;isOwnedByWall;isHandicappedAccessible;Price;canBePayedWithCoins;canBePayedInApp;canBePayedWithNFC;hasChangingTable;LabelID;hasUrinal;FID
Wall_125493;Wall CT, Schützenstr.;Berlin;Schützenstr. hinter 10 (0-24 Uhr);;13585;Deutschland;13,2102945837695;52,5501501894777;1;1;0,50;1;1;1;0;1;0;953
Wall_3389;Wall CT, Unter den Linden;Berlin;Unter den Linden 76 (0-24 Uhr);;10117;Deutschland;13,3812694549561;52,5166091918945;1;1;0,50;1;0;0;0;2;0;178
Wall_34518;Toilette Gutsmuthsweg;Berlin;Trakehner Allee vor ggü. 3 (bei Veranst.);;14053;Deutschland;13,2435201;52,512991;1;0;0,00;0;0;0;0;4;0;276
Wall_34520;Toilette Gutsmuthsweg (Eingang Hockey-Stadion);Berlin;Olympischer Platz 6 (bei Veranst.);;14053;Deutschland;13,24459;52,51562;1;0;0,00;0;0;0;0;4;0;275
Wall_34522;Toilette Coubertinplatz;Berlin;Trakehner Allee hinter ggü. 7 (bei Veranst.);;14053;Deutschland;13,240781;52,5121801;1;0;0,00;0;0;0;0;4;0;274
Wall_34523;Toilette Eingang Reithalle / Tunnelweg;Berlin;Jesse-Owens-Allee vor ggü. 2 (bei Veranst.);;14053;Deutschland;13,23694025;52,51064618;1;0;0,00;0;0;0;0;4;0;200
Wall_34524;Toilette U-Bhf. Olympia-Stadion;Berlin;Rossitter Platz (bei Veranst.);;14053;Deutschland;13,24938;52,51746;1;0;0,00;0;0;0;0;4;0;873
Wall_5329;Toilette Osnabrücker Str.;Berlin;Mierendorffplatz (7-22 Uhr);;10589;Deutschland;13,3043888888889;52,5255277777778;1;1;0,00;0;0;0;0;5;0;290
Wall_5330;Toilette Budapester Str.;Berlin;Breitscheidplatz (9-22 Uhr);;10789;Deutschland;13,3361111111111;52,5049444444444;1;1;0,50;0;0;0;0;3;0;191
Wall_5331;Toilette Joachimsthaler Str.;Berlin;Joachimsthaler Platz, Kurfürstendamm 226 (7-22 Uhr);;10719;Deutschland;13,3308611111111;52,5033333333333;1;0;0,50;0;0;0;0;3;0;198
Wall_5332;Toilette Olympischer Platz;Berlin;Olympiastadion, Gutsmuthsweg (bei Veranst.);;14053;Deutschland;13,2440277777778;52,5142222222222;1;0;0,00;0;0;0;0;5;0;171
Wall_5333;Toilette Glockenturmstr. 1;Berlin;Waldbühne/Maifeld, Passenheimer Str. (bei Veranst.);;14053;Deutschland;13,2306388888889;52,5136111111111;1;0;0,00;0;0;0;0;5;0;203
Wall_5335;Toilette Reichsstr.;Berlin;Theodor-Heuss-Platz ggü. 4-6 (7-22 Uhr);;14052;Deutschland;13,272577;52,509679;1;0;0,00;0;0;0;0;5;0;210
Wall_5336;Toilette Aßmannstr. (Marktplatz Friedrichshagen);Berlin;Bölschestr. 113 (7-22 Uhr);;12587;Deutschland;13,6245833333333;52,4506666666667;1;1;0,00;0;0;0;0;5;0;261
Wall_5338;Toilette Spielplatz;Berlin;Viktoriapark (0-24 Uhr);;10965;Deutschland;13,3778611111111;52,4875;1;0;0,00;0;0;0;0;5;0;212
Wall_5339;Toilette;Berlin;Alexanderplatz 1 (7-22 Uhr);;10178;Deutschland;13,412954;52,521463;1;1;0,50;0;0;0;0;3;0;2
Wall_5340;Toilette Spandauer Str. (ggü. Nikolaiviertel);Berlin;Rathausstr. ggü. 17 (10-18 Uhr);;10178;Deutschland;13,4064166666667;52,5184722222222;1;1;0,50;0;0;0;0;3;0;183
Wall_5341;Toilette Gutschmidtstr. (am U-Bhf.);Berlin;Britz-Süd , Fritz-Reuter-Allee (7-22 Uhr);;12359;Deutschland;13,4473888888889;52,4373611111111;1;0;0,00;0;0;0;0;5;0;227
Wall_5342;Toilette Sonnenallee;Berlin;Elbestr. 39 (7-22 Uhr);;12045;Deutschland;13,438239;52,482874;1;0;0,00;0;0;0;0;5;0;228
Wall_5343;Toilette Residenzstr.;Berlin;Schäfersee , Am Schäfersee ggü. 1 (7-22 Uhr);;13407;Deutschland;13,3638055555556;52,5641666666667;1;0;0,00;0;0;0;0;5;0;238
Wall_5344;Toilette Burscheider Weg;Berlin;Haselhorster Damm 23 (0-24 Uhr);;13599;Deutschland;13,2382777777778;52,5444722222222;1;1;0,00;0;0;0;0;5;0;266
Wall_5345;Toilette Quellweg;Berlin;Jugendplatz , Jugendweg (0-24 Uhr);;13629;Deutschland;13,2698888888889;52,5378472222222;1;0;0,00;0;0;0;0;5;0;243
Wall_5346;Toilette Obstallee;Berlin;Magistratsweg 8a (0-24 Uhr);;13593;Deutschland;13,1631666666667;52,52125;1;1;0,00;0;0;0;0;5;0;267
Wall_5347;Toilette Breite Str.;Berlin;Mönchstr. 8 (0-24 Uhr);;13597;Deutschland;13,2054861111111;52,5376388888889;1;1;0,00;0;0;0;0;5;0;280
Wall_5348;Toilette Breite Str.;Berlin;Spandauer Markt , Markt 5 (7-22 Uhr);;13597;Deutschland;13,2050277777778;52,5368611111111;1;1;0,20;0;0;0;0;3;0;4
Wall_5349;Toilette Holbeinstr. (Ludwig-Beck-Platz);Berlin;Moltkestr. (0-24 Uhr);;12203;Deutschland;13,3120833333333;52,4426666666667;1;0;0,00;0;0;0;0;5;0;255
Wall_5350;Toilette Oswald-Schumann-Platz (Tiergarten);Berlin;Altonaer Str. (0-24 Uhr);;10557;Deutschland;13,3452222222222;52,5155555555556;1;0;0,00;0;0;0;0;5;0;214
Wall_5351;Toilette Großer Stern;Berlin;Großer Stern (Haus C) , Str. des 17. Juni (7-22 Uhr);;10785;Deutschland;13,3484166666667;52,5142361111111;1;0;0,00;0;0;0;0;5;0;192
Wall_5353;Toilette Konstanzer Str.;Berlin;Preußenpark , Brandenburgische Str. (7-22 Uhr);;10707;Deutschland;13,310916;52,493104;1;1;0,00;0;0;0;0;5;0;206
Wall_5354;Toilette Livländische Str.;Berlin;Volkspark Wilmersdorf , Am Volkspark (7-22 Uhr);;10715;Deutschland;13,326417;52,48288;1;0;0,00;0;0;0;0;5;0;199
Wall_5355;Toilette Anlegestelle Wannsee (hi. Kronprinzessinenweg);Berlin;Wannsee , Rönnebypromenade (07-22 Uhr);;14109;Deutschland;13,1762222222222;52,4214722222222;1;1;0,00;0;0;0;0;5;0;847
Wall_5356;Toilette Arndtstr.;Berlin;Chamissoplatz 1 (0-24 Uhr);;10965;Deutschland;13,3909027777778;52,4885277777778;1;0;0,00;0;0;0;0;4;0;211
Wall_5358;Toilette Karl-Marx-Str.;Berlin;Kirchhofstr. (0-24 Uhr);;12051;Deutschland;13,4413888888889;52,4715555555556;1;0;0,00;0;0;0;0;4;0;229
Wall_5359;Toilette Fellbacher Str.;Berlin;Fellbacher Platz , Heinsestr. (0-24 Uhr);;13467;Deutschland;13,3076111111111;52,6161388888889;1;0;0,00;0;0;0;0;4;0;234
Wall_5360;Toilette Schloßstr.;Berlin;Berliner Str. 105-106 (0-24 Uhr);;13507;Deutschland;13,283026;52,590697;1;0;0,00;0;0;0;0;4;0;264
Wall_5361;Toilette Mariendorfer Damm;Berlin;Friedenstr. (0-24 Uhr);;12107;Deutschland;13,386907;52,438695;1;0;0,00;0;0;0;0;4;0;257
Wall_5362;Toilette Havelberger Str.;Berlin;Stephanplatz , Stephanstr. (0-24 Uhr);;10559;Deutschland;13,3470138888889;52,5335277777778;1;0;0,00;0;0;0;0;4;0;224
Wall_5363;Toilette Oldenburger Str.;Berlin;Unionplatz , Siemensstr. (0-24 Uhr);;10551;Deutschland;13,3367777777778;52,5332222222222;1;0;0,00;0;0;0;0;4;0;226
Wall_5364;Toilette Kiautschoustr.;Berlin;Pekinger Platz , Nordufer (0-24 Uhr);;13353;Deutschland;13,35325;52,5399027777778;1;0;0,00;0;0;0;0;4;0;223
Wall_5365;Toilette Scholzplatz stew. (ex. Scholzplatz);Berlin;Heerstr. (0-24 Uhr);;14055;Deutschland;13,2276388888889;52,5065;1;0;0,00;0;0;0;0;5;0;196
Wall_5366;Toilette Wilmersdorfer Str. staw. (Parkplatz);Berlin;Schillerstr. (0-24 Uhr);;10625;Deutschland;13,3067361111111;52,5101666666667;1;0;0,00;0;0;0;0;5;0;209
Wall_5367;Toilette Haus Nr. 63-65 (Badestelle Saatwinkel) (ex. Saatwinkel);Berlin;Im Saatwinkel (0-24 Uhr);;13599;Deutschland;13,2465277777778;52,5616666666667;1;0;0,00;0;0;0;0;5;0;235
Wall_5368;Toilette verlängerte Sterkrader Str.;Berlin;Flughafensee Tegel , Schwarzer Weg (0-24 Uhr);;13507;Deutschland;13,2855277777778;52,5707777777778;1;0;0,00;0;0;0;0;5;0;
Wall_5369;Toilette Zufahrt Insel Scharfenberg/Freibad Tegeler See (ex. Strandbad Tegel);Berlin;Schwarzer Weg (0-24 Uhr);;13505;Deutschland;13,2432222222222;52,576;1;0;0,00;0;0;0;0;5;0;240
Wall_5370;Toilette Revierförsterei Tegelsee/Parkplatz (ex. Revierförsterei Tegel Schwarzer Weg);Berlin;Schwarzer Weg 71 (0-24 Uhr);;13505;Deutschland;13,2538055555556;52,5853888888889;1;0;0,00;0;0;0;0;5;0;239
Wall_5371;Toilette Uferweg (Große Badewiese) (ex. Große Badewiese/Waldschluchtpfad);Berlin;verlängerter Waldschluchtpfad (0-24 Uhr);;14089;Deutschland;13,1815555555556;52,4698333333333;1;0;0,00;0;0;0;0;5;0;250
Wall_5373;Toilette Haus Nr. 15 (ex. Groß Glienicker See/Badewiese);Berlin;Groß Glienicker See , Uferpromenade (0-24 Uhr);;14089;Deutschland;13,119;52,4711944444445;1;0;0,00;0;0;0;0;5;0;248
Wall_5374;Toilette Im Dohl (Groß Glienicker See/DLRG-Wasserrettungsstation) (ex. Groß Glienicker See/Pferdek.);Berlin;Groß Glienicker See , verlängerte Uferpromenade (0-24 Uhr);;14089;Deutschland;13,1154583333333;52,46125;1;0;0,00;0;0;0;0;5;0;249
Wall_5376;Toilette Bürgerablage (Badestelle);Berlin;Bürgerablage , Niederneuendorfer Allee 80 (0-24 Uhr);;13587;Deutschland;13,2100833333333;52,5852222222222;1;0;0,00;0;0;0;0;5;0;244
Wall_5377;Toilette Uferpromenade (ex. Aalemannkanal);Berlin;Rustweg (0-24 Uhr);;13587;Deutschland;13,2191666666667;52,5753888888889;1;0;0,00;0;0;0;0;5;0;245
Wall_5378;Toilette Tiergarten-Unterschleuse (ex. Tiergarten Schleuse);Berlin;Großer Tiergarten , Tiergartenufer (0-24 Uhr);;10787;Deutschland;13,3367222222222;52,5126111111111;1;0;0,00;0;0;0;0;5;0;225
Wall_5379;Toilette Spreeweg (Tiergarten Spielplatz) (ex. Tiergarten Spielplatz);Berlin;Großer Tiergarten , Bellevueallee (0-24 Uhr);;10557;Deutschland;13,3566388888889;52,5163333333333;1;0;0,00;0;0;0;0;5;0;216
Wall_5381;Toilette Transvaalstr. (Plötzensee/Volkspark Rehberge) (ex. Dohnagestell / Plötzensee);Berlin;Dohnagestell (0-24 Uhr);;13351;Deutschland;13,3299722222222;52,5467222222222;1;0;0,00;0;0;0;0;5;0;
Wall_5382;Toilette Hüttenweg/AVUS A115;Berlin;Kronprinzessinnenweg (0-24 Uhr);;14193;Deutschland;13,23525;52,4689722222222;1;0;0,00;0;0;0;0;5;0;254
Wall_5383;Toilette (Wanderwegekreuzung mit Umgehungschaussee) (ex.Grunewaldsee Ost);Berlin;Grunewaldsee-Ostufer (0-24 Uhr);;14193;Deutschland;13,2661111111111;52,4718055555556;1;0;0,00;0;0;0;0;5;0;
